Difference of "all_files" between "b1.6.4" and "b1.6.5".
Changed file "me.class" from "2fb5191ac923e1ee2edaa4599e1458dbe5e76dd9" to "3ed1461a07dd14482f8065b897f54184f41177e6".
Changed file "mi.class" from "76a77c744f39403cca8a67286085fc6e6c255a18" to "a93c69e73e4d6e20113b05025df67bfe249ad18a".
Changed file "mq.class" from "276653cb98348e613692d9cdbeb912b2bf986dad" to "a6452f41d2f805961224480079fd3357f9b7a13a".
Changed file "mx.class" from "9aa9e3cb1a4a92cb958f8bfea736318dec4afeb2" to "ba8da86a3bbd2e02785f89cc144cb317f8a4936e".
Changed file "mz.class" from "826daa4c0ccae3cbed302e158d6940c833ebc8a4" to "3db95e3198d707fa606e01ab8bab214614adf7c9".
Changed file "net/minecraft/client/Minecraft.class" from "fa4aedf7f5063b040ad5e9e32562b3f0bc37222b" to "29d8cc8edf55b1b22a43c5629e1fbf3ebe63f6a9".
Changed file "nf.class" from "397692b6155ff3dafa1f46eea2ed7cad1a0783b2" to "60171387a5d37f0affa7935d1e538993a3944aef".
Changed file "ni.class" from "af2e0d89ebd3e1dce75d8f97d005edada3d56a30" to "49d7db1a963e601928094e61f6611010fd2230a2".
Changed file "np.class" from "9682435d185f6fc88e2a35624572334fde2d9e1a" to "7f4ac2fd953327382a24234090b73e5aa280257c".
Changed file "nw.class" from "8b651baa3e74fc54e973e77a5d2ca61285aed707" to "6b5aa8e01d37b29ea9f701ca60f3238427a6cd47".
Changed file "ol.class" from "ad9ace2415fad9b3067b368540adf12112cd70bf" to "55b28e8b0cfd4c160f9492c866a5f4fc53c24ed4".
Changed file "oo.class" from "44a2360eed51d7b683434375d342c2dd60a42c9e" to "55938109d852ec3bb8ebec04f35ca8060aaa51b9".
Changed file "ox.class" from "38337fdd45701289c6d6d1c6c626c87649587a32" to "3ee278f91c8dc861d269d55f5cf4cffbc0c23995".
Changed file "pb.class" from "c187f9d35dc908b81b4ac938ff00e90c4675ee60" to "7fdf1f115c398614b440074c3a943ec881bd95b7".
Changed file "ph.class" from "870542cec2e5764299c5bc3f66d600835e56271c" to "cdfe0b3f9410805b511e2f4dd524c30e16e4b898".
Changed file "pt.class" from "9a7f3ca632976f5e13f9976766db72f0556ddfa8" to "b03d7d75ce20df88e629eb78e35e027ae1c34a05".
Changed file "qi.class" from "db8f232bfd8d09e89d2143675245df91e3ca630f" to "1cd9795f671193c6463ba061f01a0f5f4d73c83e".
Changed file "qp.class" from "4571a5d6c59e3df153a60a572223b4a1f78f3772" to "638f39c7f7ec0e5a11f212691688f46a808a7d09".
Changed file "qq.class" from "763508511f72e8d26491755fe691e896eb87157c" to "4094ac8f014eb30f8e3a2940598346c5d0fef268".
Changed file "qr.class" from "66eacf42be38a712b9b5600cc249e97f00780618" to "7742490294069975cfbca18c9691f3754573afac".
Changed file "qs.class" from "40c72c51c75d46b4b1c1a9e2232355e68d5200bb" to "d473905be1c7dae62b7c17632594ab73a3c4e9a4".
Changed file "qv.class" from "88523057b594f55af87a7108dcb8f76c7717ed46" to "81fcec47344835609c4f806ea80b25619fe5d076".
Changed file "rb.class" from "e52e2388821f71a20575d2072674ed8f249b046d" to "bc8a7f5a3dd5a448214630eef8fd6d8e5867c079".
Changed file "ri.class" from "9ae95cda7c315f67ee38c268920a5fe6e65427af" to "0101f4822f995679a17517a5807aa353e062c6c6".
Changed file "sg.class" from "101d35bf1a02d62baa6bb46fe95da04cf27ed4ef" to "4340742d060100c01b2c7a5da2884cb52e9d489c".
Changed file "si.class" from "18c5341d5a4ce6fd08838f95acb06692921949c5" to "db490e8120459ac3f8d74b30df717f6c4962513e".
Changed file "sn.class" from "72697312f73914afed34a1d592dc8c7d5d620d84" to "341b8bc02462c0d268f3d6ea88c76a7a480bf579".
Changed file "st.class" from "5e69736ac09e6122b2ae3e9d17d28aa2d084a366" to "f4e38a2eb4d40bac8780dc22b779cbb66a4b9aae".
Changed file "sw.class" from "f1c6f17222ff98fa5e90e8df411280b89a698538" to "111a4752be622ededa4e41af718a097694795911".
Changed file "sx.class" from "ec68578a56af83e497b78db48f7dfea0da0391dc" to "8bedbab3c1a35cae9b71eef98fa4cf2c3a5069a0".
Changed file "tc.class" from "b10bf007c056ac80fb43511e15f20e9c593ef5b7" to "3c7941b54e2d780f37a6abe2a9ee88f60922e001".
Changed file "tf.class" from "fdeb65383bd10c46f884ae1e228737c74c6f3b13" to "6ef96d1a84787217f9b39a493aaebe64074895b3".
Changed file "tg.class" from "f2251220e03582c69f1edd3c5a79b47c5f70a99d" to "da3e99de4eb4454e9dc2a4da037c22264bd77374".
